==00:02:56==,,,
編號,站名,往南港展覽館,往頂埔
BL01,頂埔,111111,----
BL02,永寧,111111,----
BL03,土城,----,111111
BL04,海山,111111,----
BL05,亞東醫院,----,----
BL06,府中,----,----
BL07,板橋,----,111111
BL08,新埔,111111,----
BL09,江子翠,----,----
BL10,龍山寺,----,111111
BL11,西門,111111,----
BL12,台北車站,----,----
BL13,善導寺,----,----
BL14,忠孝新生,----,111111
BL15,忠孝復興,111111,----
BL16,忠孝敦化,----,----
BL17,國父紀念館,----,----
BL18,市政府,----,111111
BL19,永春,----,----
BL20,後山埤,111111,----
BL21,昆陽,----,111111
BL22,南港,----,----
BL23,南港展覽館,----,111111
==06:00:06==,,,
BL01,頂埔,111111,----
BL02,永寧,----,----
BL03,土城,111111,----
BL04,海山,----,----
BL05,亞東醫院,----,----
BL06,府中,111111,----
BL07,板橋,----,----
BL08,新埔,----,----
BL09,江子翠,111111,----
BL10,龍山寺,----,----
BL11,西門,----,----
BL12,台北車站,----,----
BL13,善導寺,----,----
BL14,忠孝新生,----,----
BL15,忠孝復興,----,----
BL16,忠孝敦化,----,----
BL17,國父紀念館,----,111111
BL18,市政府,----,----
BL19,永春,----,----
BL20,後山埤,----,----
BL21,昆陽,----,111111
BL22,南港,----,----
BL23,南港展覽館,----,----
==07:00:05==,,,
BL01,頂埔,111111,----
BL02,永寧,----,111111
BL03,土城,----,----
BL04,海山,111111,222222
BL05,亞東醫院,----,----
BL06,府中,111111,112111
BL07,板橋,111111,----
BL08,新埔,----,222222
BL09,江子翠,----,222222
BL10,龍山寺,111111,232332
BL11,西門,111111,----
BL12,台北車站,----,----
BL13,善導寺,111111,122221
BL14,忠孝新生,----,----
BL15,忠孝復興,----,221221
BL16,忠孝敦化,111111,----
BL17,國父紀念館,111111,111111
BL18,市政府,----,----
BL19,永春,111111,----
BL20,後山埤,----,111111
BL21,昆陽,111111,111111
BL22,南港,111111,----
BL23,南港展覽館,----,111111
==10:10:43==,,,
BL01,頂埔,111111,----
BL02,永寧,111111,----
BL03,土城,----,111111
BL04,海山,111111,----
BL05,亞東醫院,111111,112211
BL06,府中,----,----
BL07,板橋,111111,122221
BL08,新埔,111111,----
BL09,江子翠,----,122222
BL10,龍山寺,111111,----
BL11,西門,111111,222222
BL12,台北車站,111111,----
BL13,善導寺,----,233222
BL14,忠孝新生,111111,----
BL15,忠孝復興,----,223222
BL16,忠孝敦化,111111,----
BL17,國父紀念館,----,----
BL18,市政府,----,111211
BL19,永春,111121,111111
BL20,後山埤,----,----
BL21,昆陽,111111,111111
BL22,南港,----,----
BL23,南港展覽館,111111,221111
==11:00:05==,,,
BL01,頂埔,111111,----
BL02,永寧,----,----
BL03,土城,----,111111
BL04,海山,----,----
BL05,亞東醫院,111111,111111
BL06,府中,----,----
BL07,板橋,111111,----
BL08,新埔,----,222222
BL09,江子翠,111111,111211
BL10,龍山寺,----,----
BL11,西門,111111,122221
BL12,台北車站,----,----
BL13,善導寺,121211,222221
BL14,忠孝新生,----,----
BL15,忠孝復興,112211,----
BL16,忠孝敦化,----,122221
BL17,國父紀念館,----,----
BL18,市政府,111111,122121
BL19,永春,----,----
BL20,後山埤,----,----
BL21,昆陽,111111,111111
BL22,南港,----,----
BL23,南港展覽館,111111,111111
==12:00:06==,,,
BL01,頂埔,111111,----
BL02,永寧,----,----
BL03,土城,----,----
BL04,海山,111111,111111
BL05,亞東醫院,----,----
BL06,府中,111111,111111
BL07,板橋,----,----
BL08,新埔,111211,----
BL09,江子翠,----,122222
BL10,龍山寺,111211,122221
BL11,西門,----,----
BL12,台北車站,112221,222221
BL13,善導寺,----,----
BL14,忠孝新生,112211,223221
BL15,忠孝復興,----,----
BL16,忠孝敦化,----,----
BL17,國父紀念館,111111,121211
BL18,市政府,----,----
BL19,永春,----,----
BL20,後山埤,111111,111111
BL21,昆陽,----,----
BL22,南港,111111,111111
BL23,南港展覽館,----,111111
==13:11:05==,,,
BL01,頂埔,111111,----
BL02,永寧,----,----
BL03,土城,----,111111
BL04,海山,----,----
BL05,亞東醫院,111111,111111
